[run number],ground-weeds?,world-area,patch-grain,[step],BA-by-species,age-by-species,dbh-by-species,hgt-by-species,abundances,siminputrow
2,FALSE,1,4,1000,[0 0 0 0 0 0 0 0],[205 88 223 0 31 0 180 0],[0.18 0.141 0.164 0 0.134 0 0.173 0],[10.187 7.11 9.467 0 5.102 0 2.616 0],[79 269 209 0 32 0 39 0],2
3,FALSE,1,4,100,[0 0 0 0 0 0 0 0],[190 115 183 0 33 106 292 99],[0.176 0.105 0.185 0 0.09 0.144 0.13 0.473],[9.389 5.585 9.736 0 4.117 5.949 2.981 10.589],[71 90 55 0 69 25 120 3],2
3,FALSE,1,4,200,[0 0 0 0 0 0 0 0],[272 134 278 0 58 200 256 16],[0.156 0.102 0.141 0 0.12 0.25 0.147 0.057],[8.832 5.904 8.164 0 4.816 8.87 2.515 3.012],[66 123 116 0 105 10 143 2],2
3,FALSE,1,4,300,[0 0 0 0 0 0 0 0],[172 139 222 0 88 296 174 48],[0.155 0.106 0.153 0 0.122 0.405 0.13 0.185],[8.884 5.822 8.736 0 4.809 12.896 2.848 5.939],[53 135 120 0 119 7 82 2],2
3,FALSE,1,4,400,[0 0 0 0 0 0 0 0],[248 84 232 0 53 292 175 0],[0.164 0.12 0.151 0 0.147 0.39 0.135 0],[9.251 6.497 8.569 0 5.355 12.069 2.82 0],[60 142 145 0 136 9 114 0],2
3,FALSE,1,4,500,[0 0 0 0 0 0 0 0],[151 106 281 0 68 108 201 0],[0.143 0.088 0.16 0 0.095 0.156 0.178 0],[8.287 5.216 8.809 0 4.054 6.312 2.473 0],[30 71 79 0 85 2 65 0],2
3,FALSE,1,4,600,[0 0 0 0 0 0 0 0],[234 85 192 0 84 208 145 0],[0.187 0.113 0.153 0 0.103 0.505 0.162 0],[10.166 6.261 8.818 0 4.348 16.094 2.959 0],[46 142 127 0 129 2 128 0],2
3,FALSE,1,4,700,[0 0 0 0 0 0 0 0],[204 85 251 0 56 226 213 0],[0.183 0.131 0.172 0 0.148 0.31 0.165 0],[9.973 6.802 9.631 0 5.119 10.144 3.057 0],[31 153 130 0 110 3 161 0],2
3,FALSE,1,4,800,[0 0 0 0 0 0 0 0],[126 111 300 0 133 326 192 0],[0.16 0.129 0.163 0 0.129 0.48 0.146 0],[9.348 6.805 9.238 0 4.91 13.917 2.795 0],[27 165 150 0 105 3 153 0],2
3,FALSE,1,4,900,[0 0 0 0 0 0 0 0],[108 145 218 0 61 0 177 0],[0.125 0.117 0.118 0 0.146 0 0.16 0],[7.671 6.256 7.25 0 5.236 0 2.717 0],[29 127 158 0 107 0 134 0],2
3,FALSE,1,4,1000,[0 0 0 0 0 0 0 0],[194 93 215 0 77 0 166 0],[0.19 0.114 0.119 0 0.138 0 0.135 0],[10.106 6.264 7.241 0 5.042 0 2.876 0],[10 62 103 0 111 0 139 0],2
4,FALSE,1,4,100,[0 0 0 0 0 0 0 0],[242 84 167 0 67 118 290 114],[0.197 0.151 0.152 0 0.169 0.169 0.12 0.632],[10.378 7.679 8.913 0 5.775 6.74 2.932 12.234],[124 126 118 0 99 31 139 5],2
4,FALSE,1,4,200,[0 0 0 0 0 0 0 0],[281 71 190 0 65 201 390 56],[0.165 0.132 0.139 0 0.124 0.257 0.131 0.169],[9.179 6.977 8.248 0 4.776 9.064 2.787 5.376],[102 86 89 0 86 8 120 3],2
4,FALSE,1,4,300,[0 0 0 0 0 0 0 0],[272 78 165 0 90 301 353 0],[0.143 0.082 0.118 0 0.128 0.249 0.149 0],[8.264 5.208 7.217 0 4.879 8.398 2.762 0],[135 71 87 0 101 7 115 0],2
4,FALSE,1,4,400,[0 0 0 0 0 0 0 0],[372 178 206 0 69 170 193 0],[0.17 0.114 0.146 0 0.148 0.342 0.147 0],[9.368 6.035 8.485 0 5.298 11.625 2.902 0],[172 53 93 0 84 3 92 0],2
4,FALSE,1,4,500,[0 0 0 0 0 0 0 0],[345 155 202 0 44 270 238 0],[0.169 0.122 0.138 0 0.12 0.295 0.131 0],[9.255 6.366 8.122 0 4.74 9.72 2.755 0],[114 39 46 0 43 4 71 0],2
4,FALSE,1,4,600,[0 0 0 0 0 0 0 0],[190 255 302 0 57 168 138 0],[0.136 0.139 0.152 0 0.147 0.139 0.145 0],[8.147 7.172 8.741 0 5.353 5.674 2.714 0],[215 118 57 0 56 4 156 0],2
4,FALSE,1,4,700,[0 0 0 0 0 0 0 0],[290 91 133 0 83 0 155 0],[0.172 0.148 0.136 0 0.14 0 0.153 0],[9.665 7.335 8.242 0 5.092 0 2.922 0],[221 89 55 0 65 0 194 0],2
4,FALSE,1,4,800,[0 0 0 0 0 0 0 0],[367 78 214 0 50 0 230 0],[0.163 0.092 0.141 0 0.129 0 0.146 0],[8.987 5.116 7.989 0 4.767 0 2.409 0],[183 41 60 0 30 0 128 0],2
4,FALSE,1,4,900,[0 0 0 0 0 0 0 0],[302 77 264 0 54 0 218 0],[0.168 0.13 0.18 0 0.191 0 0.136 0],[9.365 6.563 9.884 0 6.206 0 2.816 0],[233 37 73 0 24 0 153 0],2
4,FALSE,1,4,1000,[0 0 0 0 0 0 0 0],[367 51 236 0 46 0 298 0],[0.146 0.082 0.141 0 0.109 0 0.124 0],[8.471 5.034 8.124 0 4.282 0 2.613 0],[181 21 102 0 16 0 155 0],2
5,FALSE,1,4,100,[0 0 0 0 0 0 0 0],[232 80 206 0 70 103 204 106],[0.189 0.103 0.139 0 0.128 0.15 0.125 0.435],[9.827 5.975 7.969 0 4.894 6.146 2.611 9.471],[69 100 76 0 120 24 137 2],2
5,FALSE,1,4,200,[0 0 0 0 0 0 0 0],[284 123 275 0 60 203 135 8],[0.142 0.115 0.144 0 0.151 0.233 0.112 0.035],[8.162 6.214 8.217 0 5.189 8.339 2.638 2.405],[85 107 101 0 64 20 177 1],2
5,FALSE,1,4,300,[0 0 0 0 0 0 0 0],[300 71 375 0 60 303 170 0],[0.182 0.132 0.18 0 0.142 0.288 0.151 0],[9.821 6.766 9.662 0 5.108 9.786 2.634 0],[86 99 98 0 60 18 164 0],2
5,FALSE,1,4,400,[0 0 0 0 0 0 0 0],[400 84 235 0 37 275 225 0],[0.152 0.095 0.13 0 0.122 0.256 0.152 0],[8.398 5.483 7.83 0 4.83 8.687 2.444 0],[81 76 116 0 25 19 143 0],2
5,FALSE,1,4,500,[0 0 0 0 0 0 0 0],[349 72 283 0 135 323 158 0],[0.192 0.138 0.164 0 0.119 0.271 0.14 0],[10.492 7.218 9.391 0 4.588 9.031 2.853 0],[115 125 191 0 15 12 182 0],2
5,FALSE,1,4,600,[0 0 0 0 0 0 0 0],[449 110 316 0 15 227 243 0],[0.18 0.153 0.187 0 0.058 0.278 0.151 0],[9.849 7.572 10.173 0 3.262 9.591 3.05 0],[116 92 261 0 8 9 161 0],2
5,FALSE,1,4,700,[0 0 0 0 0 0 0 0],[285 92 416 0 50 173 254 0],[0.167 0.126 0.168 0 0.181 0.455 0.147 0],[9.177 6.649 9.326 0 5.757 14.917 3.011 0],[108 84 302 0 5 2 119 0],2
5,FALSE,1,4,800,[0 0 0 0 0 0 0 0],[167 51 252 0 61 0 81 0],[0.111 0.116 0.112 0 0.135 0 0.197 0],[7.044 6.466 7.001 0 4.947 0 2.401 0],[107 24 314 0 14 0 29 0],2
5,FALSE,1,4,900,[0 0 0 0 0 0 0 0],[188 63 272 0 31 0 96 0],[0.102 0.104 0.135 0 0.105 0 0.18 0],[6.473 5.616 7.931 0 4.387 0 2.703 0],[71 10 308 0 17 0 21 0],2
5,FALSE,1,4,1000,[0 0 0 0 0 0 0 0],[288 39 241 0 48 0 137 0],[0.149 0.099 0.139 0 0.096 0 0.212 0],[8.493 5.886 8.097 0 4.087 0 2.785 0],[48 7 241 0 30 0 25 0],2
1,TRUE,1,4,100,[0 0 0 0 0 0 0 0],[203 113 185 3 53 114 293 113],[0.178 0.123 0.139 0.014 0.157 0.176 0.121 0.416],[9.735 6.577 8.183 1.805 5.516 6.945 2.932 8.51],[107 179 103 1 65 27 103 2],1
1,TRUE,1,4,200,[0 0 0 0 0 0 0 0],[174 88 94 0 37 202 90 0],[0.148 0.108 0.109 0 0.148 0.245 0.119 0],[8.658 6.186 7.043 0 5.493 8.821 2.452 0],[29 276 42 0 63 7 102 0],1
